Index,LT,Age,Country,Locality,Site,Date,GPS Latitude N,GPS Longitude E,End-Start (Intercept),Genus,Species,AphiaID,Depth [m],ReefZone
172,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,15,NA,NA,NA,1,Reef edge
173,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,27,NA,NA,NA,1,Reef edge
174,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
175,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
176,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,13,NA,NA,NA,1,Reef edge
177,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,19,NA,NA,NA,1,Reef edge
178,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,36,NA,NA,NA,1,Reef edge
179,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,23,NA,NA,NA,1,Reef edge
180,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,30,NA,NA,NA,1,Reef edge
181,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,19,NA,NA,NA,1,Reef edge
182,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
183,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,4,NA,NA,NA,1,Reef edge
184,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,5,NA,NA,NA,1,Reef edge
185,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,20,NA,NA,NA,1,Reef edge
186,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,31,NA,NA,NA,1,Reef edge
187,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
188,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,45,NA,NA,NA,1,Reef edge
189,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
190,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
191,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,16,NA,NA,NA,1,Reef edge
